monthly_spend,invoices,last_payment_date,sign_up_date,last_seen_at,sessions_30d,pages_viewed_30d,time_on_site_sec_30d,plan_basic,plan_premium,plan_standard,payment_status_delinquent,payment_status_on_time,device_type_desktop,device_type_mobile,device_type_tablet,region_East,region_North,region_South,region_West,channel_app,channel_partner,channel_web,age_band_18-24,age_band_25-34,age_band_35-44,age_band_45-54,age_band_55+,customer_id,churn,avg_monthly_spend_per_invoice,engagement_score,tenure_proxy,avg_monthly_spend_per_invoice_scaled,engagement_score_scaled,tenure_proxy_scaled
-0.8184484978784055,1.240499109125429,0.3913351048932006,-1.229151661023136,-0.9416271877698578,-0.6756289121933012,2.726184433889136,-1.2365191921686665,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,1,0,-0.6597735474839835,2.029946868493024,0.28752447325327835,-0.0782085261586006,1.42919220211478,0.3241585559342031
-0.8011567885126515,-1.4404457028439166,1.0305668717141971,1.4173711929599333,1.1524318060156602,0.6306785378854628,-0.5237612457269243,-0.3778575407621753,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,2,0,0.556186732294666,0.10061966647916892,-0.2649393869442731,0.12255850980957288,0.07084167814607621,-0.2986958574698286
-0.7170038029326493,-1.526927793552605,0.9724548929122884,1.5430967442180366,0.7585397112153133,-0.7761141006608985,-0.2312661345614788,1.971858464775858,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,3,0,0.46957282849927207,-0.974515927476113,-0.7845570330027233,0.10825769996585063,-0.6861118317936407,-0.8845190532430136
-0.5579200767677137,-0.4891427050483424,0.027166704401239,0.4744295585241604,0.2521070179005814,-0.575143723725704,0.7762170261194999,-0.7839812948057859,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,4,1,1.1406079882405156,0.18800694748036617,-0.22232254062357903,0.21905222367858548,0.13236704243486738,-0.2506491113773078
-0.054731334224276,-0.9215531585917852,0.5734193051391815,0.930184681834784,-0.190016761977359,-0.4746585352581067,-0.4587623321346031,-1.056664386806496,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,5,0,0.05939031700342748,-0.9510319405061514,-1.120201443812143,0.04053252143124179,-0.6695778369522137,-1.2629286066430996
-0.6040313017430574,-0.4891427050483424,0.0852786832031478,0.5341491953717594,1.3132040896076385,-0.977084477596093,0.2237262605847696,-0.0065443942080169,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,6,0,1.2348774611355198,-0.7534672902481236,0.779054894235879,0.23461704349231932,-0.5304816556950552,0.8783158756942321
-0.81671932694183,1.5864274719601832,-1.4798706125282617,-1.615757731141803,0.8550030813705002,0.8316489148206573,-0.2637655913576394,-1.1785015130195793,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,7,1,-0.5148166817438524,0.5482416315793582,2.470760812512303,-0.05427471782468006,0.38599171086166567,2.7855655137129265
-0.7158510223082657,-1.180999430717851,0.995699684433052,1.1564906740993697,0.7585397112153133,-0.7761141006608985,-0.2637655913576394,1.362672833710442,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,8,0,0.606140023177782,-1.0171684781233639,-0.3979509628840564,0.13080629085492482,-0.7161415304677792,-0.4486547110286749
-0.0063145480001652,-0.7485889771744081,0.3952092368133279,0.7133081059145563,-0.3105959746713427,1.0326192917558517,-0.6862585297077273,-0.4126681482516276,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,9,0,0.008435267139518702,0.33948295957726393,-1.023904080585899,0.032119340097185624,0.23901433387705437,-1.154361798918899
-0.0702938726534545,1.0675349277080517,0.612160624340454,-1.0814241382948648,-1.0059361012066492,-0.4746585352581067,-0.1012683073768364,0.2197245544734232,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,10,0,-0.06584690657791611,-0.5722647667270527,0.07548803708821561,0.019854620524900623,-0.40290529513144646,0.08510612267522683
